id,name,artist,artist id,playlist source name,playlist id,popularity,danceability,energy level
1EjIXKhNHI00ZLMRpS8iz8,The Code,Nemo,5Wg72TowYBWIcSo3K2r84N,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,74,0.542,0.77
5TswDbxMnxptgFTf6ZxvXQ,Rim Tim Tagi Dim,Baby Lasagna,1ncWEkB4AQh1rxC8ObpBoH,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,74,,
7n3Czk07KugPQOWuqCHDmF,Teresa & Maria,alyona alyona,2ic3GGGmkixOZP4qnakSA8,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,74,,
5N7IYups0hGrlVcvj0bmHG,Mon amour,Slimane,4OV6uYSnHxSYkjDYuBVBUz,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,74,,
2Ozw7k5CLtM5W9SomrOyjw,Hurricane,Eden Golan,2eqELzJhAS2EDZayMaMHk5,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,67,,
7qiEoVlFjb3KaytT2zgK1g,Doomsday Blue,Bambie Thug,6g3orasGcMPn0gwcE3JMAC,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,69,,
49R1F3rIdSzuPk7AcHi6d1,la noia,Angelina Mango,1A6HBLulvBFzNtlMb7b08f,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,80,,
2MiEtw8UquKvxOwu47oTMu,Jako,Ladaniva,6nt7tWnBx4NqnXKO6vEByU,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,64,,
5L8C1PZGCpZf8STcN79H5j,Unforgettable,Marcus & Martinus,3N4FiTxpPQRsrihmTMN349,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,75,,
2zhBeIoGEqISdQOu4HtQZc,Grito,iolanda,37VYsW0OfWchi5qpCDOv1b,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,61,,
4sDLQ5atDUHhbikD1UQ2mW,ZARI,Marina Satti,2W4apaxME2OLw8qqhZK7aJ,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,73,,
3BJ0uXKEz9fUxCbZle1rCE,Always on the run,ISAAK,4EsPdQD7LDT8meZpX0MX4p,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,70,,
6syLoIbMRXvCEr94FMVBHh,Fighter - Eurovision Version,TALI,6v6wot3YV1QnPry6mfrCLK,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,65,,
4ZBe9Plh2adT70U4PDxve1,Luktelk,Silvester Belt,2Tna85W7SvTboWMUSFilH6,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,70,,
1ssBrm3EZb20Kb19roQIcy,Liar,Silia Kapsis,3tTnh7pp782ZdZADjqPOvC,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,67,,
6lvDhgHLeC9wBOOVKGCfJi,Hollow,Dons,3DjJiiOy3bJ9JFn81mxbWS,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,62,,
3LDCaH8okEKDnLKEazmTDa,Ramonda,Teya Dora,5japL3H3OQvvJfhtsNh3eU,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,51,,
4GEmQTg7yfnfZoNhgpCg61,Dizzy,Olly Alexander (Years & Years),5vBSrE1xujD2FXYRarbAXc,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,69,,
4QWrK6lpr8rZ6sa8ymqMrq,No Rules!,Windows95Man,4iIv1KxAdDsqfwq5XjcgQm,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,67,,
3wdfbb4qfNmPHJRn8ILMHk,(nendest) narkootikumidest ei tea me (küll) midagi,5MIINUST,6acByqWJeuaM0TX5VoY6an,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,65,,
0XzSKAgVOdtMSfzYY0qtAb,Pedestal - Eurovision version,Aiko,4rNUXX8pX47dfwyD6KL2zP,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,65,,
5Ekw4o2ecrOCBF5rGB7KXs,Firefighter,Nutsa,28BY95cMOgoVJrJK9YLS7Z,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,64,,
4ypCNolz6aRYZPO3UOGp8Z,ZORRA,Nebulossa,58M2tktuW3ZTnZGTddqejF,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,71,,
5M2L5RqF8zRvFwPUrQ1tX6,Veronika,Raiven,5RBzgTi4eJswbWLigxtNkI,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,63,,
1QpWQMKfQ44QUN1dEg65T8,We Will Rave,Kaleen,6c2Y3AYl05QMPbLMCGag6P,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,70,,
4Fo5QwbxjpNKW191lHQhnm,Ulveham,Gåte,3YxkGgMvqCQA75aFpy6524,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,23,,
0uHrMbMv3c78398pIANDqR,Europapa,Joost,6s5ubAp65wXoTZefE01RNR,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,82,,
1A4pbfIyAuyZkIrRr4tK2X,Before The Party's Over,Mustii,3sHtPJJi41P65J7EGRG2r1,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,69,,
4IUMSDTVvUellFQ7RxI3kZ,The Tower,LUNA,0AZgkXW6n0zfyOhVAnIopA,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,68,,
79feeOJI7Rk8xwDdrOFsDO,SAND,SABA,2pyK1mU65l7VNGw2BZIjsW,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,64,,
3DlWvRuHXQ3iQicBauinOd,Loop,Sarah Bonnici,6qOSxtFkI6TBjXcWygwvzk,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,63,,
74mWVYv6xPilcalOxrQa5Y,One Milkali (One Blood),Electric Fields,06SobozDGSP0TMCYgMW0M5,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,62,,
6EwXG9cPjesjehN0kw30xs,Özünlə Apar,Fahree,0Fkjczl8PFJL6frgE8TRpB,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,63,,
669R9eowHoeQkrbnkUalI8,TiTAN,Besa,6Ou6egP0Y2KxEI2yobIN3y,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,62,,
6XIerJ9V7H9byQFRZiqyCv,11:11,Megara,4vFcywn3P1b0M4xFe61e23,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,61,,
5ViF3hsL0iwD7jhh5JB2Ip,In the Middle,Natalia Barbu,6dICPcKkYBBS4lW6TdxUQr,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,60,,
0Vsjlru86RuL55GX5LsnF3,Scared of Heights,Hera Björk,1OjcrzJpR5p38qPTskMPU5,Eurovision 2024,37i9dQZF1DWVCKO3xAlT1Q,59,,
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,3y2cIKLjiOlp1Np37WiUdH,It's Hits Sweden,37i9dQZF1DWTMYgB8TqtmR,94,,
2MZjkieXlnbynYBBM6y0Uj,Forever,Loreen,49aaHxvAJ0tCh0F15OnwIl,It's Hits Sweden,37i9dQZF1DWTMYgB8TqtmR,59,,
29YN98sTVSpfYMpPzFXaGU,Välkommen ner,Bolaget,55ZGFvikpNjQHvtTWS5aZF,It's Hits Sweden,37i9dQZF1DWTMYgB8TqtmR,71,,
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,0PCCGZ0wGLizHt2KZ7hhA2,It's Hits Sweden,37i9dQZF1DWTMYgB8TqtmR,100,,
1lxnQq2RI4UXqXXegmiiVY,Helluva life,Hov1,68dW5BU6sdVNf099EylxEt,It's Hits Sweden,37i9dQZF1DWTMYgB8TqtmR,57,,
0uHrMbMv3c78398pIANDqR,Europapa,Joost,6s5ubAp65wXoTZefE01RNR,It's Hits Sweden,37i9dQZF1DWTMYgB8TqtmR,82,,
