id,name,artist,artist id,popularity,danceability,energy level,playlist sources,playlist occurances
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,0C0XlULifJtAgn6ZNCW2eu,12,,,['Rock Classics'],1
006nnWonryJaAktux75zAs,Close Your Eyes and Listen,Naturelle,2ZqIdeQMZpsr1jAruu22fI,65,,,['White Noise Baby Sleep'],1
00E0Z2jrF7reoHps4zcbWQ,Car Keys (Ayla),Alok,0NGAZxHanS9e0iNHpR8f2W,76,,,['Happy Hits!'],1
00HmVmIABJvWy3OSp4AsDI,The Dirt,Benjamin Ingrosso,7jEEE187pVG6InOxn03oA5,42,,,['This Is Benjamin Ingrosso'],1
00IVFOcMHaTB7VEwzQs9ZZ,Stronger,Miss Li,04HqRx07Bv9gh7rsrMTqs7,31,,,['This Is Miss Li'],1
00Nupca8NtYSA00HNh3elc,Min melodi,Melina Borglowe,6iuKUTViI8eNiiZN8hOkFj,49,,,"['Melodifestivalen - Årets bidrag', 'Lugnt & Skönt']",2
00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,6IRouO5mvvfcyxtPDKMYFN,69,,,['Classic Road Trip Songs'],1
01MV13Hg9sfFNtgcMidjgE,Ambient White Tones,Hovar,3COnOYhmr8nINwgd54Z8wj,68,,,['White Noise 10 Hours'],1
01bEWq2e6LPEn8pJIZabCo,Follow Your Dreams,Trio Del Norte,6P9V4I7JlXTWt4llgXpiPO,49,,,['Jazz in the Background'],1
01h2N3MrwVDnvKHJV1eHiA,Soulful Serenade,Anthony Hide Trio,0vF49H73xGuKS1vRSNN3av,61,,,['Jazz in the Background'],1
01hKARIp286ZDzQiawMha2,SVITEN,Sticky,12BQZLcMCpuSfR7xyKFgJO,42,,,"['New Music Friday Sweden', '100']",2
01hiTwznescgIbY9PAUVUz,In Presence,Dean Demir,434a1xYHmz2z0QvE2jYzmX,67,,,['Peaceful Piano'],1
01kfSdF9zfcDLri5sSWEoL,RAVE,Dxrk ダーク,5TvFfw1MgSntdU9A7yncyA,77,,,['phonk'],1
02OvuRrfQIMPkKIevEFmU2,Après toi,Vicky Leandros,68yjIBoc8l4GaliVFZDUcJ,37,,,['Eurovision Winners'],1
02PAR02BrdtAdLFOuPIBWP,I'll Be There,Bernstein Square,0RdMRIhMDTQEpMcALRyQTK,55,,,['Jazz in the Background'],1
02QE4LsAj7DBjMRxolGE8a,More Baby,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,67,,,['Gym Hits'],1
03Qx02F7mheJVvs6mK0E1I,Dive Into Your Love,TOOMANYLEFTHANDS,5tCPpDoXfTKy5yTongtDAT,27,,,['New Music Friday Sweden'],1
045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,75,,,['This Is Taylor Swift'],1
04cMUwER7r2VwqMCj4kYJ9,Devil Eyes,ZODIVK,6nTTVtUnmZWlPju0qzX7Or,72,,,['phonk'],1
04i9TIi97Aoh1xjrCCM0aI,Full Bloom,Allysium,5uQAgpFL2lx2pufHYhPAin,61,,,['Peaceful Piano'],1
04xHnrqFiQ1lnIxLMPmWgk,Un premier amour,Isabelle Aubret,1YUyLxEVcC1mjIpFYu8vG5,0,,,['Eurovision Winners'],1
04zdjWewHa4UZ8ZePm5QSK,Sunday,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,47,,,['Lugnt & Skönt'],1
04zrPERrSO4CfyargthKJ9,Bla Bla Bla,Gigi D'Agostino,1OAjDaKgg00KCUYqDe68un,68,,,['90s Dance Party'],1
050mcqcICeaJ4h2yXdwCHT,Oblivion,Neptunica,5dGsIOepO9ufQlXjW8KrPL,60,,,['Club Hits 2024'],1
059G9tpE3kl6wz3kiddaN0,Vivo Cantando,Salomé,63do5oMjVDbcCYvgqhMCtM,37,,,['Eurovision Winners'],1
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,74,,,"['All Out 80s', 'Classic Road Trip Songs']",2
05kJkr80XEaZeN8kxyQoFp,Lavender Haze - Acoustic Version,Taylor Swift,06HL4z0CvFAxyc27GXpf02,59,,,['Dinner with Friends'],1
05msZuGKP3OCUGQnvLBOf4,My Boy Only Breaks His Favorite Toys,Taylor Swift,06HL4z0CvFAxyc27GXpf02,70,,,['This Is Taylor Swift'],1
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,79,,,['All Out 80s'],1
05yByCb0WmmE3c23Ppl5NO,Nostalgia,Novo Stella,1YrNSfkC8jWJm1rfvOKN32,52,,,['Jazz in the Background'],1
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,82,,,['Songs to Sing in the Car'],1
06MaHjSGleJNvfsugH0mFi,Dooh Dooh,Barcode Brothers,11lfQgLbVZRnR7tbtAnzhk,49,,,['90s Dance Party'],1
06PqeO7IInus2yvzsZwZhf,CUTE DEPRESSED,Dyan Dxddy,12Swjg82MNiUOfl1GB3XFx,81,,,['phonk'],1
06ejLmwLBU7c6SzaQD1bk8,Norrlands Guld,Smörebua,3choMl26IyqK5yBJPwN2Qk,39,,,['30 km/h'],1
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,79,,,['Country Top 50'],1
06hsdMbBxWGqBO0TV0Zrkf,Cotton Eye Joe,Rednex,22Zqu1yyebVnbve8FxbJ2g,73,,,"['90s Dance Party', 'All Out 90s', 'pov']",3
078tv0fBjcReoPb9IL97b7,Fall a hundred times,Maya Sarfatto,2BULWWkjYsQLp6CasdyPC9,68,,,['Peaceful Piano'],1
07Z7LOrZp0NwtVhe2b8GcS,Easy,Ceny Noes,6TQdtIGUfXg24EXnIgndKS,52,,,['Peaceful Meditation'],1
07on0OB2cdPt79IFsgdRUy,Need A Favor,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,1,,,['Country Top 50'],1
07rZol7bEXJSUHIcwah0eq,Non ho l'età (Per amarti),Gigliola Cinquetti,6QxfNzuPwvVnH5n1U24Cmh,48,,,['Eurovision Winners'],1
